PRN,Name,Present
2501132001,Student 1,True
2501132002,Student 2,True
2501132003,Student 3,True
2501132004,Student 4,True
2501132005,Student 5,True
2501132006,Student 6,True
2501132007,Student 7,True
2501132008,Student 8,True
2501132009,Student 9,True
2501132010,Student 10,True
2501132011,Student 11,True
2501132012,Student 12,True
2501132013,Student 13,True
2501132014,Student 14,True
2501132015,Student 15,True
2501132016,Student 16,True
2501132017,Student 17,True
2501132018,Student 18,True
2501132019,Student 19,True
2501132020,Student 20,True
